XCoord,YCoord,ID500M
4485750.00000000,3584250.00000000,500mE44855N35840
4486250.00000000,3584250.00000000,500mE44860N35840
4486750.00000000,3584250.00000000,500mE44865N35840
4487250.00000000,3584250.00000000,500mE44870N35840
4487750.00000000,3584250.00000000,500mE44875N35840
4488250.00000000,3584250.00000000,500mE44880N35840
4488750.00000000,3584250.00000000,500mE44885N35840
4489250.00000000,3584250.00000000,500mE44890N35840
4489750.00000000,3584250.00000000,500mE44895N35840
4490250.00000000,3584250.00000000,500mE44900N35840
4490750.00000000,3584250.00000000,500mE44905N35840
4491250.00000000,3584250.00000000,500mE44910N35840
4466750.00000000,3584750.00000000,500mE44665N35845
4467250.00000000,3584750.00000000,500mE44670N35845
4467750.00000000,3584750.00000000,500mE44675N35845
4468250.00000000,3584750.00000000,500mE44680N35845
4468750.00000000,3584750.00000000,500mE44685N35845
4469250.00000000,3584750.00000000,500mE44690N35845
4469750.00000000,3584750.00000000,500mE44695N35845
4470250.00000000,3584750.00000000,500mE44700N35845
4470750.00000000,3584750.00000000,500mE44705N35845
4471250.00000000,3584750.00000000,500mE44710N35845
4471750.00000000,3584750.00000000,500mE44715N35845
4472250.00000000,3584750.00000000,500mE44720N35845
4472750.00000000,3584750.00000000,500mE44725N35845
4473250.00000000,3584750.00000000,500mE44730N35845
4473750.00000000,3584750.00000000,500mE44735N35845
4474250.00000000,3584750.00000000,500mE44740N35845
4474750.00000000,3584750.00000000,500mE44745N35845
4475250.00000000,3584750.00000000,500mE44750N35845
4475750.00000000,3584750.00000000,500mE44755N35845
4476250.00000000,3584750.00000000,500mE44760N35845
4476750.00000000,3584750.00000000,500mE44765N35845
4477250.00000000,3584750.00000000,500mE44770N35845
4477750.00000000,3584750.00000000,500mE44775N35845
4478250.00000000,3584750.00000000,500mE44780N35845
4478750.00000000,3584750.00000000,500mE44785N35845
4479250.00000000,3584750.00000000,500mE44790N35845
4479750.00000000,3584750.00000000,500mE44795N35845
4480250.00000000,3584750.00000000,500mE44800N35845
4480750.00000000,3584750.00000000,500mE44805N35845
4481250.00000000,3584750.00000000,500mE44810N35845
4481750.00000000,3584750.00000000,500mE44815N35845
4482250.00000000,3584750.00000000,500mE44820N35845
4482750.00000000,3584750.00000000,500mE44825N35845
4483250.00000000,3584750.00000000,500mE44830N35845
4483750.00000000,3584750.00000000,500mE44835N35845
4484250.00000000,3584750.00000000,500mE44840N35845
4484750.00000000,3584750.00000000,500mE44845N35845
4485250.00000000,3584750.00000000,500mE44850N35845
4485750.00000000,3584750.00000000,500mE44855N35845
4486250.00000000,3584750.00000000,500mE44860N35845
4486750.00000000,3584750.00000000,500mE44865N35845
4487250.00000000,3584750.00000000,500mE44870N35845
4487750.00000000,3584750.00000000,500mE44875N35845
4488250.00000000,3584750.00000000,500mE44880N35845
4488750.00000000,3584750.00000000,500mE44885N35845
4489250.00000000,3584750.00000000,500mE44890N35845
4489750.00000000,3584750.00000000,500mE44895N35845
4490250.00000000,3584750.00000000,500mE44900N35845
4490750.00000000,3584750.00000000,500mE44905N35845
4491250.00000000,3584750.00000000,500mE44910N35845
4491750.00000000,3584750.00000000,500mE44915N35845
4492250.00000000,3584750.00000000,500mE44920N35845
4492750.00000000,3584750.00000000,500mE44925N35845
4493250.00000000,3584750.00000000,500mE44930N35845
4466750.00000000,3585250.00000000,500mE44665N35850
4467250.00000000,3585250.00000000,500mE44670N35850
4467750.00000000,3585250.00000000,500mE44675N35850
4468250.00000000,3585250.00000000,500mE44680N35850
4468750.00000000,3585250.00000000,500mE44685N35850
4469250.00000000,3585250.00000000,500mE44690N35850
4469750.00000000,3585250.00000000,500mE44695N35850
4470250.00000000,3585250.00000000,500mE44700N35850
4470750.00000000,3585250.00000000,500mE44705N35850
4471250.00000000,3585250.00000000,500mE44710N35850
4471750.00000000,3585250.00000000,500mE44715N35850
4472250.00000000,3585250.00000000,500mE44720N35850
4472750.00000000,3585250.00000000,500mE44725N35850
4473250.00000000,3585250.00000000,500mE44730N35850
4473750.00000000,3585250.00000000,500mE44735N35850
4474250.00000000,3585250.00000000,500mE44740N35850
4474750.00000000,3585250.00000000,500mE44745N35850
4475250.00000000,3585250.00000000,500mE44750N35850
4475750.00000000,3585250.00000000,500mE44755N35850
4476250.00000000,3585250.00000000,500mE44760N35850
4476750.00000000,3585250.00000000,500mE44765N35850
4477250.00000000,3585250.00000000,500mE44770N35850
4477750.00000000,3585250.00000000,500mE44775N35850
4478250.00000000,3585250.00000000,500mE44780N35850
4478750.00000000,3585250.00000000,500mE44785N35850
4479250.00000000,3585250.00000000,500mE44790N35850
4479750.00000000,3585250.00000000,500mE44795N35850
4480250.00000000,3585250.00000000,500mE44800N35850
4480750.00000000,3585250.00000000,500mE44805N35850
4481250.00000000,3585250.00000000,500mE44810N35850
4481750.00000000,3585250.00000000,500mE44815N35850
4482250.00000000,3585250.00000000,500mE44820N35850
4482750.00000000,3585250.00000000,500mE44825N35850
4483250.00000000,3585250.00000000,500mE44830N35850
4483750.00000000,3585250.00000000,500mE44835N35850
4484250.00000000,3585250.00000000,500mE44840N35850
4484750.00000000,3585250.00000000,500mE44845N35850
4485250.00000000,3585250.00000000,500mE44850N35850
4485750.00000000,3585250.00000000,500mE44855N35850
4486250.00000000,3585250.00000000,500mE44860N35850
4486750.00000000,3585250.00000000,500mE44865N35850
4487250.00000000,3585250.00000000,500mE44870N35850
4487750.00000000,3585250.00000000,500mE44875N35850
4488250.00000000,3585250.00000000,500mE44880N35850
4488750.00000000,3585250.00000000,500mE44885N35850
4489250.00000000,3585250.00000000,500mE44890N35850
4489750.00000000,3585250.00000000,500mE44895N35850
4490250.00000000,3585250.00000000,500mE44900N35850
4490750.00000000,3585250.00000000,500mE44905N35850
4491250.00000000,3585250.00000000,500mE44910N35850
4491750.00000000,3585250.00000000,500mE44915N35850
4492250.00000000,3585250.00000000,500mE44920N35850
4492750.00000000,3585250.00000000,500mE44925N35850
4493250.00000000,3585250.00000000,500mE44930N35850
4465750.00000000,3585750.00000000,500mE44655N35855
4466250.00000000,3585750.00000000,500mE44660N35855
4466750.00000000,3585750.00000000,500mE44665N35855
4467250.00000000,3585750.00000000,500mE44670N35855
4467750.00000000,3585750.00000000,500mE44675N35855
4468250.00000000,3585750.00000000,500mE44680N35855
4468750.00000000,3585750.00000000,500mE44685N35855
4469250.00000000,3585750.00000000,500mE44690N35855
4469750.00000000,3585750.00000000,500mE44695N35855
4470250.00000000,3585750.00000000,500mE44700N35855
4470750.00000000,3585750.00000000,500mE44705N35855
4471250.00000000,3585750.00000000,500mE44710N35855
4471750.00000000,3585750.00000000,500mE44715N35855
4472250.00000000,3585750.00000000,500mE44720N35855
4472750.00000000,3585750.00000000,500mE44725N35855
4473250.00000000,3585750.00000000,500mE44730N35855
4473750.00000000,3585750.00000000,500mE44735N35855
4474250.00000000,3585750.00000000,500mE44740N35855
4474750.00000000,3585750.00000000,500mE44745N35855
4475250.00000000,3585750.00000000,500mE44750N35855
4475750.00000000,3585750.00000000,500mE44755N35855
4476250.00000000,3585750.00000000,500mE44760N35855
4476750.00000000,3585750.00000000,500mE44765N35855
4477250.00000000,3585750.00000000,500mE44770N35855
4477750.00000000,3585750.00000000,500mE44775N35855
4478250.00000000,3585750.00000000,500mE44780N35855
4478750.00000000,3585750.00000000,500mE44785N35855
4479250.00000000,3585750.00000000,500mE44790N35855
4479750.00000000,3585750.00000000,500mE44795N35855
4480250.00000000,3585750.00000000,500mE44800N35855
4480750.00000000,3585750.00000000,500mE44805N35855
4481250.00000000,3585750.00000000,500mE44810N35855
4481750.00000000,3585750.00000000,500mE44815N35855
4482250.00000000,3585750.00000000,500mE44820N35855
4482750.00000000,3585750.00000000,500mE44825N35855
4483250.00000000,3585750.00000000,500mE44830N35855
4483750.00000000,3585750.00000000,500mE44835N35855
4484250.00000000,3585750.00000000,500mE44840N35855
4484750.00000000,3585750.00000000,500mE44845N35855
4485250.00000000,3585750.00000000,500mE44850N35855
4485750.00000000,3585750.00000000,500mE44855N35855
4486250.00000000,3585750.00000000,500mE44860N35855
4486750.00000000,3585750.00000000,500mE44865N35855
4487250.00000000,3585750.00000000,500mE44870N35855
4487750.00000000,3585750.00000000,500mE44875N35855
4488250.00000000,3585750.00000000,500mE44880N35855
4488750.00000000,3585750.00000000,500mE44885N35855
4489250.00000000,3585750.00000000,500mE44890N35855
4489750.00000000,3585750.00000000,500mE44895N35855
4490250.00000000,3585750.00000000,500mE44900N35855
4490750.00000000,3585750.00000000,500mE44905N35855
4491250.00000000,3585750.00000000,500mE44910N35855
4491750.00000000,3585750.00000000,500mE44915N35855
4492250.00000000,3585750.00000000,500mE44920N35855
4492750.00000000,3585750.00000000,500mE44925N35855
4493250.00000000,3585750.00000000,500mE44930N35855
4493750.00000000,3585750.00000000,500mE44935N35855
4494250.00000000,3585750.00000000,500mE44940N35855
4494750.00000000,3585750.00000000,500mE44945N35855
4495250.00000000,3585750.00000000,500mE44950N35855
4465750.00000000,3586250.00000000,500mE44655N35860
4466250.00000000,3586250.00000000,500mE44660N35860
4466750.00000000,3586250.00000000,500mE44665N35860
4467250.00000000,3586250.00000000,500mE44670N35860
4467750.00000000,3586250.00000000,500mE44675N35860
4468250.00000000,3586250.00000000,500mE44680N35860
4468750.00000000,3586250.00000000,500mE44685N35860
4469250.00000000,3586250.00000000,500mE44690N35860
4469750.00000000,3586250.00000000,500mE44695N35860
4470250.00000000,3586250.00000000,500mE44700N35860
4470750.00000000,3586250.00000000,500mE44705N35860
4471250.00000000,3586250.00000000,500mE44710N35860
4471750.00000000,3586250.00000000,500mE44715N35860
4472250.00000000,3586250.00000000,500mE44720N35860
4472750.00000000,3586250.00000000,500mE44725N35860
4473250.00000000,3586250.00000000,500mE44730N35860
4473750.00000000,3586250.00000000,500mE44735N35860
4474250.00000000,3586250.00000000,500mE44740N35860
4474750.00000000,3586250.00000000,500mE44745N35860
4475250.00000000,3586250.00000000,500mE44750N35860
4475750.00000000,3586250.00000000,500mE44755N35860
4476250.00000000,3586250.00000000,500mE44760N35860
4476750.00000000,3586250.00000000,500mE44765N35860
4477250.00000000,3586250.00000000,500mE44770N35860
4477750.00000000,3586250.00000000,500mE44775N35860
4478250.00000000,3586250.00000000,500mE44780N35860
4478750.00000000,3586250.00000000,500mE44785N35860
4479250.00000000,3586250.00000000,500mE44790N35860
4479750.00000000,3586250.00000000,500mE44795N35860
4480250.00000000,3586250.00000000,500mE44800N35860
4480750.00000000,3586250.00000000,500mE44805N35860
4481250.00000000,3586250.00000000,500mE44810N35860
4481750.00000000,3586250.00000000,500mE44815N35860
4482250.00000000,3586250.00000000,500mE44820N35860
4482750.00000000,3586250.00000000,500mE44825N35860
